product_id,product_name,cost,retail,aisle
185057,Strawberries,3.65,5.97,4
353789,Pancetta,3.47,5.97,2
311368,Blackberries,2.54,3.97,4
740457,Flour,0.82,1.97,1
647082,Quail,3.56,5.97,1
331858,Navy Beans,0.9,1.97,2
121487,Coconut Oil,4.22,4.97,5
947849,Almonds,3.02,5.97,2
204173,Duck,2.92,5.97,1
859334,Guavas,4.33,5.97,5
166513,Olive Oil,2.02,2.97,5
235787,Crabs,0.97,1.97,5
808850,Sazon,0.19,0.97,4
562336,Breadfruit,2.33,4.97,1
236850,Radishes,2.35,2.97,3
833835,Honey,3.31,4.97,4
785432,Adobo,3.35,6.97,1
391524,Anchovy Paste,0.68,1.97,3
470762,Heavy Cream,1.82,2.97,3
378273,Peas,4.44,6.97,2
352541,Cinnamon,3.85,7.97,2
713393,Horseradish,0.42,0.97,2
670608,Buckwheat,3.65,3.97,3
852351,Chutney,0.27,0.97,5
402543,Red Snapper,2.17,4.97,3
939884,Paprika,3.51,4.97,3
290307,Couscous,4.41,8.97,1
713491,Marshmallows,1.08,2.97,1
788421,Blueberries,3.48,5.97,2
247726,Salmon,2.86,4.97,2
438067,Rhubarb,0.42,0.97,5
249106,Turkeys,1.33,2.97,3
772306,Zinfandel Wine,3.66,6.97,2
435716,Huckleberries,0.9,1.97,5
856162,Basil,1.44,2.97,2
197475,Artificial Sweetener,3.6,5.97,1
901217,Kumquats,0.2,0.97,3
417018,Moo Shu Wrappers,2.74,4.97,4
900241,Chard,0.13,0.97,1
976146,Water,0.1,0.97,2
832091,Baking Soda,4.72,8.97,1
742489,Pistachios,1.01,1.97,5
603839,Pears,3.45,5.97,5
290818,Sardines,0.21,0.97,1
357659,Coriander,1.29,2.97,1
446901,Red Pepper Flakes,0.76,0.97,1
781127,Five-Spice Powder,0.49,0.97,1
511884,Barbecue Sauce,3.02,5.97,5
614498,Powdered Sugar,2.35,3.97,2
761644,Vermouth,1.01,1.97,2
392799,Wasabi,4.92,6.97,2
131617,Panko Bread Crumbs,4.06,5.97,4
660129,Oatmeal,0.89,0.97,4
538462,Mesclun Greens,0.48,0.97,5
105203,Custard,2.24,2.97,4
749537,Squid,2.91,4.97,4
986860,Granola,2.87,3.97,3
225828,Beef,4.46,7.97,4
660793,Arugula,0.38,0.97,5
782599,Pepper,3.36,4.97,5
816103,Cottage Cheese,2.09,2.97,3
815435,Tomato Puree,4.75,6.97,2
707917,Cantaloupes,0.26,0.97,4
158158,Carrots,2.22,3.97,4
175108,Hot Sauce,4.39,5.97,2
675317,Sherry,3.73,5.97,4
547454,Aioli,0.12,0.97,5
312859,Bean Sprouts,0.39,0.97,5
790053,Eggplants,0.31,0.97,1
185515,Pineapples,1.46,1.97,3
222591,Pico De Gallo,3.66,3.97,2
488782,Ginger,0.05,0.97,2
313584,Bay Leaves,0.33,0.97,4
247742,Rosemary,1.68,1.97,5
733112,Provolone,2.24,2.97,2
557446,Cannellini Beans,0.91,1.97,3
796577,Mayonnaise,3.58,6.97,3
270335,Thyme,4.65,7.97,5
250903,Oregano,1.89,3.97,1
999090,Cloves,4.69,5.97,5
328148,Pesto,4.4,5.97,1
538522,Bacon,4.49,8.97,3
947897,Canadian Bacon,0.07,0.97,1
454556,White Beans,1.31,1.97,5
992305,Pickles,1.55,1.97,3
626340,Alligator,0.79,1.97,2
619534,Black Olives,2.13,3.97,3
731029,White Chocolate,4.41,7.97,4
590806,Pork,3.66,3.97,5
649439,Bouillon,3.91,5.97,1
762948,Soymilk,2.29,4.97,4
638086,Okra,4.79,9.97,3
439527,Wine,4.17,8.97,2
583996,Tofu,4.84,5.97,4
981470,Oranges,2.17,2.97,2
279886,Cashew Nut,2.5,4.97,4
868734,Bok Choy,4.65,5.97,1
818085,Sweet Potatoes,0.63,1.97,1
140186,Red Beans,4.55,4.97,3
671425,Lettuce,4.88,8.97,4
